bird  chim  N 9.2
bird  chim_sẻ N	7.2
forest		rừng			N	9.4
forest		đồng_cỏ		N	4.6
car		xe_đạp			N	7.0
car		ô_tô			N	9.3
car		con_đường		N	0.7
glass		chiếc_gương		N	7.5
glass		kính			N	9.0
glass		cái_cốc		N	5.3
cushion		cái_gối		N	6.0
cushion		cái_đệm		N	9.1
cushion		kẹo_dẻo		N	1.5
monk		nhà_sư			N	9.2
monk		sư_thầy		N	6.5
monk		chùa			N	1.3
gem		đá_quý			N	8.98
gem		thủy_tinh		N	6.1
gem		ngọc_trai		N	2.1
rooster		gà_trống		N	9.3
rooster		gà_con			N	4.9
rooster		giống_đực		N	1.8
cord		dây_xích		N	5.4
cord		dây_thừng		N	8.9
cord		đường_kẻ		N	3.0
magician	nhà_ảo_thuật		N	6.8
magician	pháp_sư			N	9.2	
hill		đồi_núi		N	8.3
hill		cái_dốc		N	5.0
hill		rừng_cây		N	2.0
coast		bờ_biển		N	9.4
coast		bãi_cát			N	6.6
coast		ván_trượt		N	0.8
signature	chữ_ký			N	9.4
signature	ký_hiệu		N	7.0
signature	bút_ký			N	2.1
autograph	bút_tích		N	7.2
autograph	chữ_viết		N	6.7
autograph	quyển_sách		N	0.9
cemetery	nghĩa_trang		N	9.5
cemetery	khu_mộ			N	7.9
cemetery	phần_mộ		N	4.2
fruit		trái_cây		N	9.23
fruit		nước_hoa_quả		N	7.0
fruit		kẹo			N	0.5
journey		cuộc_hành_trình	N	8.8
journey		đường_bộ		N	3.3
journey		quãng_đường		N	6.9
stove		bếp			N	7.2
stove		lò_sưởi		N	8.2
stove		nhà_kính		N	5.0
graveyard	nghĩa_địa		N	7.8
graveyard	người_chết		N	1.1
implement	đồ_dùng		N	9.0
implement	phương_tiện		N	8.1
implement	công_cụ		N	8.5
mound		mô_đất			N	7.6
mound		đống_đá		N	8.5
mound		viên_gạch		N	0.2
pillow		cái_gối		N	9.2
pillow		cái_đệm		N	8.0
pillow		giường_ngủ		N	3.8
cock		vòi_nước		N	6.8
cock		con_gà_trống		N	9.2
cock		chong_chóng		N	4.3
shore		bờ_biển			N	9.3
shore		bờ_hồ			N	8.1
shore		cột_chống		N	4.2
tool		dụng_cụ		N	9.0
tool		công_cụ		N	8.2
tool		máy_tính		N	0.1
automobile	ô_tô			N	9.8
automobile	xe_máy			N	6.0
automobile	động_cơ			N	3.0
noon		buổi_trưa		N	9.5
boy		    chàng_trai		N	9.3
girl		cô_gái			N	9.3
girl		nữ_sinh		N	7.6
girl		trẻ_con		N	2.0
home		nhà			N	9.6
home		căn_hộ			N	7.8
home		sổ_đỏ			N	2.9	
jewel		viên_ngọc		N	7.4
jewel		kim_cương		N	8.8
jewel		người_tài		N	1.9
monk		nhà_sư			N	8.9
monk		tượng_phật		N	4.8
monk		lễ_vật			N	0.8
food		thức_ăn		N	9.3
food		thực_vật		N	6.3		
brother		em_trai			N	9.3
brother		anh_trai		N	9.2
sister		chị_gái			N	9.3
sister		em_gái			N	9.2
string		dây_đàn			N	8.2
string		chuỗi_ngọc		N	6.5		
furnace		lò_lửa			N	8.4
furnace		bếp			N	6.9
furnace		lửa			N	2.3
grin		nụ_cười		N	8.9
grin		khóc			N	0.3		
crane		con_cò			N	5.0
crane		cần_cẩu			N	9.2	
smile		nụ_cười			N	9.8		
slave		nô_lệ			N	9.11
slave		người_nghèo		N	7.5
slave		người_giàu		N	2.0
tumbler		con_lật_đật		N	8.9
madhouse	nhà_thương_điên		N	9.2
madhouse	bệnh_viện_tâm_thần	N	9.5
madhouse	người_điên		N	4.5
oracle		câu_trả_lời		N	8.3
oracle		lời_tiên_tri		N	8.9			350
oracle		câu_hỏi			N	0.8
accent		giọng_nói		N	7.9	
accent		trọng_âm		N	8.9
accent		dấu_sắc			N	4.4
accident	tai_nạn			N	9.2
accident	biến_cố			N	7.99	
account		kế_toán			N	4.4
account		tài_khoản		N	9.2
account		báo_cáo			N	7.8
animal		động_vật		N	9.7
animal		thực_vật		N	2.6
animal		động_vật_ăn_thịt	N	5.3
beauty		người_đẹp		N	7.4
beauty		sắc_đẹp			N	9.2
beauty		nhan_sắc		N	8.1
arm		cánh_tay		N	9.5
arm		tay_áo			N	3.4
arm		nhánh_cây		N	5.0
ball		quả_bóng		N	8.79
ball		buổi_khiêu_vũ		N	9.2
ball		viên_thuốc		N	4.6
blood		máu			N	9.4
blood		nhựa_cây		N	8.1
blood		nước_ngọt		N	7.6
boat		thuyền			N	9.1
boat		tàu			N	8.5
boat		bến_cảng		N	1.6
book		quyển_sách		N	9.4
book		giấy			N	8.4
book		bút			N	2.2
bread		bánh_mỳ			N	9.4
bread		bột_mỳ			N	6.4
bread		bánh_bao		N	2.3
capital		thủ_đô			N	9.7
capital		tiền_vốn		N	8.2
capital		hà_nội			N	1.7
cat		con_mèo			N	9.8
cat		con_hổ			N	7.2
cat		con_lợn			N	3.2
cause		nguyên_nhân		N	9.1
cause		lý_do			N	8.2
cause		mục_đích		N	4.4
clock		đồng_hồ			N	9.5
clock		công_tơ			N	7.8
clock		thời_gian		N	3.4
character	tính_cách		N	9.0
character	ký_tự			N	9.3
character	đặc_điểm		N	8.8
chick		gà_con			N	9.2
chick		chim_non		N	3.7
chick		gà_mẹ			N	4.2
control		quyền_lực		N	9.2
control		chức_quyền		N	5.7		
city		thành_phố		N	9.5
city		nông_thôn		N	2.0
city		đô_thị			N	8.3
company		công_ty			N	9.2
company		tổ_chức			N	4.8
company		doanh_nghiệp		N	8.1
country		đất_nước		N	9.5
country		tổ_quốc			N	8.1
country		quê_hương		N	5.3
doctor		bác_sĩ			N	9.8
doctor		điều_dưỡng		N	6.2
doctor		thầy_thuốc		N	8.1
door		cái_cửa			N	9.4
door		cửa_sổ			N	7.1
dictionary	từ_điển			N	9.5
dictionary	quyển_sách		N	3.7
egg		quả_trứng		N	9.3
enemy		kẻ_thù			N	9.1
enemy		đồng_minh		N	2.3
enemy		đối_thủ			N	7.6
engine		động_cơ			N	8.3		
engine		máy_móc			N	3.9
engine		năng_lượng		N	5.0
experience	kinh_nghiệm		N	9.3
experience	kỹ_năng			N	4.9
experience	chuyên_môn		N	2.4
cow		con_bò_cái		N	9.4
cow		con_bê			N	7.8
cow		con_trâu		N	4.8
eye		mắt			N	9.3
family		gia_đình		N	9.7
